Material,Description,ProdLoc,BinSize,Qty,ProductionLine,StationCode,ExternalKanbanId
165591804,GROUP PADLOCK DEVICE IN OPEN 7MM,T7T8.STAT.C.2.1,S,20,T7T8.STAT,,37824
165591804,GROUP PADLOCK DEVICE IN OPEN 7MM,T7T8.STAT.C.2.1,S,20,T7T8.STAT,,37825
165591902,PADLOCK DEVICE CB ROCKWELL,T7T8.STAT.C.4.1,M,30,T7T8.STAT,,37862
165591902,PADLOCK DEVICE CB ROCKWELL,T7T8.STAT.C.4.1,M,30,T7T8.STAT,,37863
1SDH000592R0001,GETTING STARTED PR331,T7T8.STAT.E.3.2,M,100,T7T8.STAT,,37934
1SDH000592R0001,GETTING STARTED PR331,T7T8.STAT.E.3.2,M,100,T7T8.STAT,,37935
1SDH000593R0001,GETTING STARTED PR332/3,T7T8.STAT.C.2.2,S,60,T7T8.STAT,,37827
1SDH000593R0001,GETTING STARTED PR332/3,T7T8.STAT.C.2.2,S,60,T7T8.STAT,,37828
23934,VITE AUTOF ACC RT21581/4X20,T7T8.STAT.C.2.3,S,1000,T7T8.STAT,,37829
23934,VITE AUTOF ACC RT21581/4X20,T7T8.STAT.C.2.3,S,1000,T7T8.STAT,,37830
RA4085801,ELECTRICAL RESET APPL.,T7T8.STAT.A.1.3,L,30,T7T8.STAT,,37837
RA4085801,ELECTRICAL RESET APPL.,T7T8.STAT.A.1.3,L,30,T7T8.STAT,,37838
RA4085803,ELECTRICAL RESET APPL. 110...127V + SEGN,T7T8.STAT.C.2.4,S,5,T7T8.STAT,,37832
RA4085803,ELECTRICAL RESET APPL. 110...127V + SEGN,T7T8.STAT.C.2.4,S,5,T7T8.STAT,,37833
RA6508801,T8 BACKPLANE,T7T8.STAT.C.4.2,M,25,T7T8.STAT,,37884
RA6508801,T8 BACKPLANE,T7T8.STAT.C.4.2,M,25,T7T8.STAT,,37885
RA6521801,AUX 5 400V,T7T8.STAT.C.4.3,M,20,T7T8.STAT,,37887
RA6521801,AUX 5 400V,T7T8.STAT.C.4.3,M,20,T7T8.STAT,,37888
RA6521802,APPL.4 CONT. AUSILIARI 400V,T7T8.STAT.A.2.1,L,30,T7T8.STAT,,37847
RA6521802,APPL.4 CONT. AUSILIARI 400V,T7T8.STAT.A.2.1,L,30,T7T8.STAT,,37848
RA6521804,APPL.4 CONT. AUSILIARI 24V,T7T8.STAT.A.2.2,L,30,T7T8.STAT,,37849
RA6521804,APPL.4 CONT. AUSILIARI 24V,T7T8.STAT.A.2.2,L,30,T7T8.STAT,,37850
RA6521905,4 AUX 1 24V + 3 250V T8(AB),T7T8.STAT.E.4.1,L,30,T7T8.STAT,,37929
RA6521905,4 AUX 1 24V + 3 250V T8(AB),T7T8.STAT.E.4.1,L,30,T7T8.STAT,,37930
RA6521906,APPL.5 CONT. AUSILIARI T8 (AB),T7T8.STAT.A.2.3,L,30,T7T8.STAT,,37852
RA6521906,APPL.5 CONT. AUSILIARI T8 (AB),T7T8.STAT.A.2.3,L,30,T7T8.STAT,,37853
RA6523801,ANTI-DUST FLANGE T8 FIXED,T7T8.STAT.A.3.1,L,30,T7T8.STAT,,37854
RA6523801,ANTI-DUST FLANGE T8 FIXED,T7T8.STAT.A.3.1,L,30,T7T8.STAT,,37855
RA7124001,T7/X1 TARGHETTA KEY PLUG,T7T8.STAT.C.2.5,S,500,T7T8.STAT,,37834
RA7124001,T7/X1 TARGHETTA KEY PLUG,T7T8.STAT.C.2.5,S,500,T7T8.STAT,,37835
RA7244001,T7/X1 CARTELLINO PRESCRIZIONI_PR,T7T8.STAT.C.2.6,S,100,T7T8.STAT,,37839
RA7244001,T7/X1 CARTELLINO PRESCRIZIONI_PR,T7T8.STAT.C.2.6,S,100,T7T8.STAT,,37840
RA8375001,LABEL UL T8V 1600 III,T7T8.STAT.E.1.3,S,1000,T7T8.STAT,,37942
RA8375001,LABEL UL T8V 1600 III,T7T8.STAT.E.1.3,S,1000,T7T8.STAT,,37943
RA8407001,LABEL 100% RATED T8,T7T8.STAT.C.3.1,S,300,T7T8.STAT,,37844
RA8407001,LABEL 100% RATED T8,T7T8.STAT.C.3.1,S,300,T7T8.STAT,,37845
RA8752001,TARGHETTA UL T8V-D 2000 III,T7T8.STAT.E.1.1,S,1000,T7T8.STAT,,37939
RA8752001,TARGHETTA UL T8V-D 2000 III,T7T8.STAT.E.1.1,S,1000,T7T8.STAT,,37940
RB3725801,T8 RELEASE PR232/P,T7T8.STAT.A.3.2,L,15,T7T8.STAT,,37864
RB3725801,T8 RELEASE PR232/P,T7T8.STAT.A.3.2,L,15,T7T8.STAT,,37865
RB5698015,140G-R12K3-E25 LABEL,T7T8.STAT.D.1.1,S,1000,T7T8.STAT,,37867
RB5698015,140G-R12K3-E25 LABEL,T7T8.STAT.D.1.1,S,1000,T7T8.STAT,,37868
RB5698019,140G-R12K3-E20-Z1 LABEL,T7T8.STAT.D.1.2,S,1000,T7T8.STAT,,37869
RB5698019,140G-R12K3-E20-Z1 LABEL,T7T8.STAT.D.1.2,S,1000,T7T8.STAT,,37870
RB5698025,140G-R12K3-E20-W1 LABEL,T7T8.STAT.D.1.3,S,1000,T7T8.STAT,,37872
RB5698025,140G-R12K3-E20-W1 LABEL,T7T8.STAT.D.1.3,S,1000,T7T8.STAT,,37873
RB5699001,140G-R12S3-E25 LABEL,T7T8.STAT.E.2.4,S,500,T7T8.STAT,,37959
RB5699001,140G-R12S3-E25 LABEL,T7T8.STAT.E.2.4,S,500,T7T8.STAT,,37960
RB5700001,100% RATED LABEL (AB),T7T8.STAT.D.1.4,S,1000,T7T8.STAT,,37874
RB5700001,100% RATED LABEL (AB),T7T8.STAT.D.1.4,S,1000,T7T8.STAT,,37875
RB7355001,SYMBOL_LABEL-ROCKWELL,T7T8.STAT.E.2.5,S,500,T7T8.STAT,,37962
RB7355001,SYMBOL_LABEL-ROCKWELL,T7T8.STAT.E.2.5,S,500,T7T8.STAT,,37963
RB7528001,LABEL MCS RELAY,T7T8.STAT.E.2.6,S,500,T7T8.STAT,,37964
RB7528001,LABEL MCS RELAY,T7T8.STAT.E.2.6,S,500,T7T8.STAT,,37965
RB7744001,AUX_LABEL,T7T8.STAT.D.1.5,S,1000,T7T8.STAT,,37877
RB7744001,AUX_LABEL,T7T8.STAT.D.1.5,S,1000,T7T8.STAT,,37878
RB7751802,DOOR_LOCK_KIT,T7T8.STAT.A.3.3,L,1,T7T8.STAT,,37879
RB7751802,DOOR_LOCK_KIT,T7T8.STAT.A.3.3,L,1,T7T8.STAT,,37880
RB7806001,TARGHETTA T8 CCC-ROCKWELL,T7T8.STAT.D.1.6,S,100,T7T8.STAT,,37882
RB7806001,TARGHETTA T8 CCC-ROCKWELL,T7T8.STAT.D.1.6,S,100,T7T8.STAT,,37883
RE0833801,PR030B UNIT,T7T8.STAT.C.4.4,M,20,T7T8.STAT,,37894
RE0833801,PR030B UNIT,T7T8.STAT.C.4.4,M,20,T7T8.STAT,,37895
RE0833804,PR030B UNIT,T7T8.STAT.C.4.4,M,20,T7T8.STAT,,37857
RE0833804,PR030B UNIT,T7T8.STAT.C.4.4,M,20,T7T8.STAT,,37858
RE0879801,T7-X1 KEY_PLUG,T7T8.STAT.B.2.2,L,700,T7T8.STAT,,37889
RE0879801,T7-X1 KEY_PLUG,T7T8.STAT.B.2.2,L,700,T7T8.STAT,,37890
RE1065001,T7-X1 PR331/P LSI FRONT LABEL,T7T8.STAT.E.1.4,S,1000,T7T8.STAT,,37944
RE1065001,T7-X1 PR331/P LSI FRONT LABEL,T7T8.STAT.E.1.4,S,1000,T7T8.STAT,,37945
RE1066001,T7-X1 PR331/P LSIG FRONT LABEL,T7T8.STAT.D.3.6,S,500,T7T8.STAT,,37972
RE1066001,T7-X1 PR331/P LSIG FRONT LABEL,T7T8.STAT.D.3.6,S,500,T7T8.STAT,,37973
RE1508801,JUMPER INSERTED-EXTRAXTED PR331-332,T7T8.STAT.D.2.1,S,1000,T7T8.STAT,,37892
RE1508801,JUMPER INSERTED-EXTRAXTED PR331-332,T7T8.STAT.D.2.1,S,1000,T7T8.STAT,,37893
RE2122001,SACE T7-T8 MCS COVER TEST  LABEL,T7T8.STAT.D.3.5,S,500,T7T8.STAT,,37969
RE2122001,SACE T7-T8 MCS COVER TEST  LABEL,T7T8.STAT.D.3.5,S,500,T7T8.STAT,,37970
RE3193802,PR232 RELAY GROUP T8,T7T8.STAT.E.3.4,M,100,T7T8.STAT,,37967
RE3193802,PR232 RELAY GROUP T8,T7T8.STAT.E.3.4,M,100,T7T8.STAT,,37968
RE3193804,PR232 RELAY GROUP T8 (AB),T7T8.STAT.E.3.3,M,10,T7T8.STAT,,37937
RE3193804,PR232 RELAY GROUP T8 (AB),T7T8.STAT.E.3.3,M,10,T7T8.STAT,,37938
RE3194801,PR331 RELAY GROUP,T7T8.STAT.E.3.1,M,20,T7T8.STAT,,37932
RE3194801,PR331 RELAY GROUP,T7T8.STAT.E.3.1,M,20,T7T8.STAT,,37933
RE3195805,RELE LSIG-MM (AB)(Elect),T7T8.STAT.C.3.4,M,20,T7T8.STAT,,37859
RE3195805,RELE LSIG-MM (AB)(Elect),T7T8.STAT.C.3.4,M,20,T7T8.STAT,,37860
RE3195806,RELE PR332/P-MM,T7T8.STAT.B.2.3,L,30,T7T8.STAT,,37897
RE3195806,RELE PR332/P-MM,T7T8.STAT.B.2.3,L,30,T7T8.STAT,,37898
RE3236805,T7/T8: R. P. UL R1200A,T7T8.STAT.D.2.2,S,100,T7T8.STAT,,37899
RE3236805,T7/T8: R. P. UL R1200A,T7T8.STAT.D.2.2,S,100,T7T8.STAT,,37900
RE3236806,T8: R. P. UL R1600A,T7T8.STAT.D.2.3,S,100,T7T8.STAT,,37902
RE3236806,T8: R. P. UL R1600A,T7T8.STAT.D.2.3,S,100,T7T8.STAT,,37903
RE3236807,T8: R. P. UL R2000A,T7T8.STAT.D.2.4,S,100,T7T8.STAT,,37904
RE3236807,T8: R. P. UL R2000A,T7T8.STAT.D.2.4,S,100,T7T8.STAT,,37905
RE3236808,T8: R. P. UL R2500A,T7T8.STAT.B.3.1,L,15,T7T8.STAT,,37907
RE3236808,T8: R. P. UL R2500A,T7T8.STAT.B.3.1,L,15,T7T8.STAT,,37908
RE3236809,T8: R. P. UL R3000A,T7T8.STAT.B.3.2,L,15,T7T8.STAT,,37909
RE3236809,T8: R. P. UL R3000A,T7T8.STAT.B.3.2,L,15,T7T8.STAT,,37910
RE3236824,RATING PLUG 1200A UL (AB) T7-T7M-T8,T7T8.STAT.E.2.1,S,100,T7T8.STAT,,37954
RE3236824,RATING PLUG 1200A UL (AB) T7-T7M-T8,T7T8.STAT.E.2.1,S,100,T7T8.STAT,,37955
RE3236826,RATING PLUG 2000A UL (AB) T8,T7T8.STAT.D.2.5,S,50,T7T8.STAT,,37912
RE3236826,RATING PLUG 2000A UL (AB) T8,T7T8.STAT.D.2.5,S,50,T7T8.STAT,,37913
RE3236827,RATING PLUG 2500A UL (AB) T8,T7T8.STAT.D.2.6,S,50,T7T8.STAT,,37914
RE3236827,RATING PLUG 2500A UL (AB) T8,T7T8.STAT.D.2.6,S,50,T7T8.STAT,,37915
RE3408801,ASSIEME FERMA CONNETTORE(Plug),T7T8.STAT.D.3.1,S,50,T7T8.STAT,,37917
RE3408801,ASSIEME FERMA CONNETTORE(Plug),T7T8.STAT.D.3.1,S,50,T7T8.STAT,,37918
RE3411801,ASSIEME FERMACAVO PR23X_331,T7T8.STAT.E.1.5,S,70,T7T8.STAT,,37947
RE3411801,ASSIEME FERMACAVO PR23X_331,T7T8.STAT.E.1.5,S,70,T7T8.STAT,,37948
RE3502001,SUPPORTO,T7T8.STAT.B.3.3,L,15,T7T8.STAT,,37919
RE3502001,SUPPORTO,T7T8.STAT.B.3.3,L,15,T7T8.STAT,,37920
RE3691001,PR332/P LSIG FRONT LABEL T7(AB),T7T8.STAT.D.3.2,S,300,T7T8.STAT,,37922
RE3691001,PR332/P LSIG FRONT LABEL T7(AB),T7T8.STAT.D.3.2,S,300,T7T8.STAT,,37923
RE3751001,SACE T8MCS(AB) FRONT LABEL,T7T8.STAT.E.1.6,S,100,T7T8.STAT,,37949
RE3751001,SACE T8MCS(AB) FRONT LABEL,T7T8.STAT.E.1.6,S,100,T7T8.STAT,,37950
RE3888001,T7-T8 MCS COVER TEST  LABEL (AB),T7T8.STAT.E.2.2,S,500,T7T8.STAT,,37952
RE3888001,T7-T8 MCS COVER TEST  LABEL (AB),T7T8.STAT.E.2.2,S,500,T7T8.STAT,,37953
RP0414001,VITE_AUTOF_ACC_RT21589_3x6,T7T8.STAT.D.3.3,S,1000,T7T8.STAT,,37924
RP0414001,VITE_AUTOF_ACC_RT21589_3x6,T7T8.STAT.D.3.3,S,1000,T7T8.STAT,,37925
RP0437001,SCREW TAPPING RT21589/3x8,T7T8.STAT.D.3.4,S,500,T7T8.STAT,,37927
RP0437001,SCREW TAPPING RT21589/3x8,T7T8.STAT.D.3.4,S,500,T7T8.STAT,,37928
